"Title","Artists","WorkbookType","Genre","Mood","Confidence","InferenceBasis","Source","ExistsInSystem","Reasons"
"Speed","Chirag Khadka","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Bujhideu","Samir Shrestha","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"You Remind Me","DJ Khaled, Vybz Kartel, Buju Banton, Mavado","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Gantabya","The Edge Band","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Dhun","Rockheads","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Uff","Sushant KC","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Plan B","Sushant KC, Yodda","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Gulabi","Sushant KC","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"No Face","Ghostface Killah, Kanye West","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Sparsha Sangeet (Raw)","Purna Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Vibes","The Edge Band","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Prashna (Raw)","John Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"K Garney","Bizen, Yabesh Thapa","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Chaar Dewar","Samir Shrestha","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Mann cha?","Purna Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"SUPPOSED TO BE LOVED","DJ Khaled, Lil Baby, Future","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"K Garu","John Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Blue Figments","Sushant KC","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Mari Jaulo","YABI The G.O.A.T","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Vagwan","YABI The G.O.A.T","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"A love letter to Darjeeling","Purna Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"udirahechan","Swar, Swapnil Sharma, Rohit Shakya","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Pagal","Sushant KC","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Oh Na Na (Nepali Version)","Karl Wine, Sushant KC, Yabesh Thapa","Single","Contemporary / Mixed","varied, release-dependent","Low","Fallback from version/feature keywords","album-names.txt","True","low_confidence"
"Timi Nabhai Nahuney (Raw Demo)","Samir Shrestha","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Ekadeshma","Sajjan Raj Vaidya","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Laal Gaadi","YABI The G.O.A.T","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Enlightenment","Chirag Khadka","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Sansaar","Swar, Swapnil Sharma, Rohit Shakya","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Pink as Floyd / Your Eyes Girl","Red Hot Chili Peppers","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Pahaar","Sajjan Raj Vaidya","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Mellow","Rohit Shakya, Sajjan Raj Vaidya","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Cosmic Soul","Chirag Khadka","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Khatra Barz","YABI The G.O.A.T, Khatra Lifestyle","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Bahana","Yabesh Thapa, Arbitrary Records","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Saacho Kura","Yabesh Thapa","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Andhakar Ko Ujyalo","Samir Shrestha","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Lukaamaari","Sajjan Raj Vaidya","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Parani","YABI The G.O.A.T","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Kaha Chau","YABI The G.O.A.T","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"CHAAK","Purna Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Yo Geet Timilai","DJ Bishow","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"AJAVOLI","YABI The G.O.A.T","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Never Is a Long Time / Love of Your Life","Red Hot Chili Peppers","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Baazigar","YABI The G.O.A.T","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Brother","DJ Khaled, Post Malone","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Aattinchey","DJ Bishow","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Devi Deuta","Tribal Rain","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Alag","The Edge Band","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"kiss me under the light of a thousand stars","Ed Sheeran","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Khatra Barz","YABI The G.O.A.T, Khatra Lifestyle","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"3AM","YABI The G.O.A.T","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Swarga","Tribal Rain","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Sakaratmakta","Chirag Khadka","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Halkhabar","Yabesh Thapa","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Atteri","Sushant KC","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Timro Maya","Sushant KC","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Dui Diney Jindagi","Yabesh Thapa","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Malai Rakha Na (Acoustic)","Sajjan Raj Vaidya","Single","Contemporary / Mixed","varied, release-dependent","Low","Fallback from version/feature keywords","album-names.txt","True","low_confidence"
"Basanta","Sajjan Raj Vaidya","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"GVNMAN","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Byarthai (demo)","Purna Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"BEAUTIFUL (feat. Future & SZA)","DJ Khaled, Future, SZA","Single","Contemporary / Mixed","varied, release-dependent","Low","Fallback from version/feature keywords","album-names.txt","True","low_confidence"
"Samjhirakhnu","Chirag Khadka","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Nerve Flip","Red Hot Chili Peppers","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Catch My Death / How It Ends","Red Hot Chili Peppers","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Suseli Gagan","Oasis Thapa","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Fakauna Ma","Sushant KC, LIL Rock Look, Sheeesh Hardik","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Kina Pawtauchau?","Rigden Nadik, Yabesh Thapa","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"KANCHI","YABI The G.O.A.T","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Level","YABI The G.O.A.T","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Baadal","Purna Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Stoner Life","Chirag Khadka","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Aago Ko Jhilko","Chirag Khadka","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"A Revolta do Jql","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Bhool","Swar, Swapnil Sharma, Rohit Shakya","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Tabahi","Sushant KC, Yashaswi Khadka, Asmick Khawash","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Hamro Maya","The Edge Band","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Gunaaso","Oasis Thapa","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Baimani","Sushant KC","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"PAAILA","AXIX","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Rondo","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"How long we can wait","Tribal Rain","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Estai Raicha","Sushant KC","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"This Is the Kitt / Brave from Afar","Red Hot Chili Peppers","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Magpies on Fire / Victorian Machinery","Red Hot Chili Peppers","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Teenpatey","Sujan Chapagain, ArtMandu","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"For My Love","Rockheads","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"names in lights at stadium heights","Ed Sheeran","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"songs I wrote that almost didn't make it","Ed Sheeran","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Aayen Ma","Sajjan Raj Vaidya","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"THIRD WORLD","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Devi Devta","Tribal Rain","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Not the One","Red Hot Chili Peppers","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"The Sunset Sleeps / Hometown Gypsy","Red Hot Chili Peppers","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"BALLIN","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Maya Ko Katha","Yabesh Thapa, Arbitrary Records","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Manaka Kura","Samir Shrestha, bekcha","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"DAAMI","YABI The G.O.A.T","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"SORRY NOT SORRY (feat. Nas, JAY-Z & James Fauntleroy) [Harmonies by The Hive]","DJ Khaled, Nas, JAŸ-Z","Single","Contemporary / Mixed","varied, release-dependent","Low","Fallback from version/feature keywords","album-names.txt","True","low_confidence"
"Amigo","Were, Dj Khala","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Chinta First Version","Tribal Rain","Single","Contemporary / Mixed","varied, release-dependent","Low","Fallback from version/feature keywords","album-names.txt","True","low_confidence"
"Swarga","Tribal Rain","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Hanalei / Open/Close","Red Hot Chili Peppers","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Kunai Din Khusukka","Oasis Thapa, Kelsang Shrestha, Saswot Shrestha, Garage Music","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"I Like You (Anischaya)","Sushant KC","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Sukumbaasi","Sajjan Raj Vaidya","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Somebody Else","Sajjan Raj Vaidya","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Halka Halka","DJ Bishow","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Psychedelic Rap","Chirag Khadka","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Hassa","Chirag Khadka","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Bharma","Tribal Rain","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Bhayena","Sushant KC","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Sidha Kura","Rockheads","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Aafnai Baato","Purna Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
